product_id,product_loaded_at,product_category,product_created_at,prodcut_updated_at,product_title,variant_id,variant_sku,variant_title,variant_created_at,variant_updated_at,variant_option1,variant_option2
5972011521,2/1/2022 1:59:44,Gift Card,5/4/2016 19:47:32,2/1/2022 1:40:13,Digital Gift Card,30249566011451,EGIFTCARD250,$250,9/24/2019 10:57:01,2/1/2022 1:37:11,250,
5972011521,3/18/2021 15:02:47,Gift Card,5/4/2016 19:47:32,3/18/2021 14:55:01,Digital Gift Card,30249046245435,EGIFTCARD050,$50,9/24/2019 4:03:02,3/18/2021 14:53:20,50,
4327690403899,11/7/2019 21:45:41,White Goods,11/7/2019 18:48:51,11/7/2019 21:01:38,Mattress Topper,31072525647931,BBMTOPQ,Queen,11/7/2019 19:51:53,11/7/2019 21:01:04,,
1489352491067,12/17/2020 13:31:51,Mattress,8/23/2018 18:33:12,12/17/2020 13:26:45,The Mattress,33307944976443,BBMMATTK2,King,4/13/2020 12:51:27,12/17/2020 13:20:51,,
4399160754235,6/2/2021 13:30:50,White Goods,1/2/2020 16:47:22,6/2/2021 13:22:06,The Mattress Protector,31415445291067,PMPSSWTTX,Twin XL,1/2/2020 16:54:33,6/2/2021 13:22:06,,
4399160754235,4/12/2021 0:06:25,White Goods,1/2/2020 16:47:22,4/11/2021 23:57:26,The Mattress Protector,31415445258299,PMPSSWTTW,Twin,1/2/2020 16:54:33,4/10/2021 20:28:03,,
4399160754235,7/30/2022 21:36:02,Mattress Protector,1/2/2020 16:47:22,7/30/2022 21:26:11,The Mattress Protector,31415445356603,PMPSSWTQ,Queen,1/2/2020 16:54:33,7/30/2022 13:24:32,,
4399160754235,5/29/2021 21:03:37,White Goods,1/2/2020 16:47:22,5/29/2021 20:30:25,The Mattress Protector,31415445422139,PMPSSWTCK,California King,1/2/2020 16:54:33,5/28/2021 18:04:45,,
4399160754235,11/24/2021 21:58:49,Protectors,1/2/2020 16:47:22,11/24/2021 21:45:49,The Mattress Protector,31415445422139,PMPSSWTCK,California King,1/2/2020 16:54:33,11/24/2021 21:05:00,,
4399160754235,5/10/2020 1:03:34,White Goods,1/2/2020 16:47:22,5/10/2020 0:26:43,The Mattress Protector,31415445356603,PMPSSWTQ,Queen,1/2/2020 16:54:33,5/9/2020 1:16:01,,
1489352491067,7/27/2020 15:06:32,Mattress,8/23/2018 18:33:12,7/27/2020 14:30:22,The Mattress,13810793545787,BBMMATTCK1,DO NOT SELL California King,8/23/2018 18:51:56,6/2/2020 18:17:07,,
5502688193,2/7/2022 7:36:44,Bath,3/22/2016 18:18:40,2/7/2022 7:02:13,Plush Hand Towels (Pair),32623948791867,TTWLHDNTDUNE,Dune,3/9/2020 17:52:20,2/7/2022 7:02:13,,
5502688193,12/1/2021 19:03:10,Bath,3/22/2016 18:18:40,12/1/2021 18:55:20,Plush Hand Towels (Pair),34394670334011,TTWLHDRSTNSH,Shore,1/8/2021 22:54:45,12/1/2021 7:05:38,,
4560054976571,4/21/2021 2:10:17,Bath,2/19/2020 19:28:54,4/21/2021 1:40:40,Plush Bath Mat,32236724027451,ABMTSWTO,White,2/19/2020 19:30:08,4/21/2021 1:38:06,,
6849056931899,6/21/2022 5:35:23,Fabric Swatch,5/5/2022 15:13:34,6/21/2022 5:15:26,Reserve Swatches,40344582619195,SWARSTCHWT4X4,White,5/5/2022 15:13:34,6/21/2022 3:18:03,,
